Rank,OrgRank,PosRank,Org,Name,,Pos,FV
,36,38,LAD,Eduardo Rojas,,C,35.5
,36,59,CLE,Nick Mitchell,,CF,35.5
,36,167,DET,Jhonan Coba,,SP,35.5
,5,168,BOS,Gage Ziehl,,SP,35.5
,36,169,MIL,Melvin Hernandez,,SP,35.5
,36,30,TOR,Dahian Santos,,MIRP,35.5
,37,39,ARI,Alberto Barriga,,C,40
,37,170,CHW,Grant Umberger,,SP,35.5
,37,24,CIN,Alfredo Alcantara,,2B,35.5
,37,96,NYM,Peyton Prescott,,SIRP,35.5
,37,171,STL,Jose Davila,,SP,35.5
,37,25,LAD,Elijah Hainline,,2B,35.5
,37,60,CLE,Aaron Walton,,CF,35.5
,37,172,DET,Gabriel Reyes,,SP,35.5
,37,173,MIL,Ethan Dorchies,,SP,35.5
,37,27,TOR,Charles McAdoo,,3B,35.5
,38,40,ARI,Christian Cerda,,C,40
,38,31,CHW,Truman Pauley,,MIRP,35.5
,38,97,CIN,Simon Miller,,SIRP,35.5
,38,98,NYM,Luis Alvarez,,SIRP,35.5
,38,99,STL,Skylar Hales,,SIRP,35.5
,38,26,LAD,Aidan West,,2B,35.5
,38,174,CLE,Will Hynes,,SP,35.5
,38,100,DET,Drew Sommers,,SIRP,35.5
,38,61,MIL,Handelfry Encarnacion,,CF,35.5
,38,101,TOR,Kai Peterson,,SIRP,35.5
,39,175,ARI,Chung-Hsiang Huang,,SP,40
,39,102,CHW,Carson Jacobs,,SIRP,35.5
,39,103,CIN,Deivi Villafana,,SIRP,35.5
,39,41,NYM,Ronald Hernandez,,C,35.5
,39,32,STL,Jack Martinez,,MIRP,35.5
,39,104,LAD,Paul Gervase,,SIRP,35.5
,39,176,CLE,Aidan Major,,SP,35.5
,39,105,DET,Moises Rodriguez,,SIRP,35.5
,39,11,MIL,Tyler Black,,1B,35.5
,39,14,TOR,Sam Shaw,,LF,35.5
,40,177,ARI,Caden Grice,,SP,40
,40,15,CHW,Sebastian Romero,,LF,35.5
,40,178,CIN,Ty Floyd,,SP,35.5
,40,3,NYM,Cleiner Ramirez,,OF,35.5
,40,33,STL,Ethan Young,,MIRP,35.5
,40,106,LAD,Garrett McDaniels,,SIRP,35.5
,40,34,CLE,Dylan DeLucia,,MIRP,35.5
,40,107,DET,Dylan Smith,,SIRP,35.5
,40,12,MIL,Eric Bitonti,,1B,35.5
,40,27,TOR,Elaineiker Coronado,,2B,35.5
,41,179,ARI,Josh Grosz,,SP,40
,41,16,NYM,Edward Lantigua,,LF,35.5
,41,35,STL,Mason Molina,,MIRP,35.5
,41,108,LAD,Ronan Kopp,,SIRP,35.5
,41,109,CLE,Steven Pérez,,SIRP,35.5
,41,180,DET,Joseph Montalvo,,SP,35.5
,41,28,MIL,José Anderson,,RF,35.5
,42,181,ARI,Jacob Steinmetz,,SP,40
,42,42,NYM,Cesar Acosta,,C,35.5
,42,110,STL,Frank Elissalt,,SIRP,35.5
,42,111,LAD,Carson Hobbs,,SIRP,35.5
,42,36,CLE,Jackson Humphries,,MIRP,35.5
,42,182,DET,Jaden Hamm,,SP,35.5
,42,29,MIL,Alexander Frias,,RF,35.5
,43,183,NYM,Nathan Hall,,SP,35.5
,43,112,STL,Matt Pushard,,SIRP,35.5
,43,113,LAD,Jakob Wright,,SIRP,35.5
,43,114,CLE,Kendeglys Virguez,,SIRP,35.5
,43,115,DET,Tyler Owens,,SIRP,35.5
,43,116,MIL,Yerlin Rodriguez,,SIRP,35.5
,43,30,ARI,Elian De La Cruz,,RF,35.5
,44,117,NYM,Calvin Ziegler,,SIRP,35.5
,44,118,STL,Yordy Herrera,,SIRP,35.5
,44,119,LAD,Reynaldo Yean,,SIRP,35.5
,44,17,CLE,Nolan Schubart,,LF,35.5
,44,72,DET,Luis Aguilera,,SS,35.5
,44,37,MIL,Ryan Birchard,,MIRP,35.5
,44,73,ARI,Jose Fernandez,,SS,35.5
,45,120,NYM,Luis R. Rodriguez,,SIRP,35.5
,45,121,STL,Randel Clemente,,SIRP,35.5
,45,122,LAD,Aidan Foeller,,SIRP,35.5
,45,184,CLE,Chase Mobley,,SP,35.5
,45,62,DET,Josueth Quinonez,,CF,35.5
,45,74,MIL,Eduardo Garcia,,SS,35.5
,45,185,ARI,Blake Walston,,SP,35.5
,46,31,STL,Colton Ledbetter,,RF,35.5
,46,28,LAD,Logan Wagner,,3B,35.5
,46,186,CLE,Alexander Garcia,,SP,35.5
,46,63,DET,Andy Mata,,CF,35.5
,46,43,MIL,Matthew Wood,,C,35.5
,46,38,ARI,Spencer Giesting,,MIRP,35.5
,47,1,STL,Bryan Torres,,2B/LF,35.5
,47,18,LAD,Samuel Munoz,,LF,35.5
,47,39,DET,Kenny Serwa,,MIRP,35.5
,47,75,MIL,Filippo Di Turi,,SS,35.5
,47,187,ARI,Dylan Ray,,SP,35.5
,48,13,STL,Jack Gurevitch,,1B,35.5
,48,123,LAD,Peter Heubeck,,SIRP,35.5
,48,124,MIL,Joshua Flores,,SIRP,35.5
,48,188,ARI,Joe Elbis,,SP,35.5
,49,32,STL,Won-Bin Cho,,RF,35.5
,48,188,LAD,Jared Karros,,SP,35.5
,48,39,MIL,Sean Episcope,,MIRP,35.5
,48,124,ARI,Sawyer Hawks,,SIRP,35.5
,49,32,STL,Chase Davis,,RF,35.5
,48,124,LAD,Isaac Ayon,,SIRP,35.5
,48,124,MIL,Jack Hostetler,,SIRP,35.5
,48,39,ARI,Jose Cabrera,,MIRP,35.5
,49,28,STL,Carlos Carrion,,3B,35.5
,48,124,LAD,Dylan Tate,,SIRP,35.5
,48,188,MIL,K.C. Hunt,,SP,35.5
,48,124,ARI,Landon Sims,,SIRP,35.5
,49,27,STL,Sebastian Dos Santos,,2B,35.5
,48,124,LAD,Wyatt Crowell,,SIRP,35.5
,48,75,MIL,Diego Frontado,,SS,35.5
,48,124,ARI,Kyle Amendt,,SIRP,35.5
,49,188,STL,Branneli Franco,,SP,35.5
,48,124,LAD,Logan Tabeling,,SIRP,35.5
,48,28,MIL,Ricki Moneys,,3B,35.5
,48,32,ARI,Gian Zapata,,RF,35.5
,48,43,ARI,Ivan Luciano,,C,35.5
,48,75,ARI,Tytus Cissell,,SS,35.5
,48,13,ARI,Pedro Blanco,,1B,35.5
,48,124,ARI,Walvin Mena,,SIRP,35.5
,48,188,ARI,Samuel Gonzalez,,SP,35.5
,48,75,ARI,Ruben Gallego,,SS,35.5
